timestamp,hours_from_start,breach_flow_cfs,breach_velocity_fts,breach_width_ft,breach_bottom_elev_ft
04SEP2026 06:19:00,6.3168,1393.212,3.86,328.0,170.0
04SEP2026 06:20:00,6.333600000000001,1385.365,3.861,328.0,170.0
04SEP2026 06:21:00,6.3504000000000005,1377.588,3.862,328.0,170.0
04SEP2026 06:22:00,6.3671999999999995,1369.878,3.863,328.0,170.0
04SEP2026 06:23:00,6.384,1362.238,3.864,328.0,170.0
04SEP2026 06:24:00,6.4008,1354.683,3.866,328.0,170.0
04SEP2026 06:25:00,6.4176,1347.196,3.867,328.0,170.0
04SEP2026 06:26:00,6.4344,1339.776,3.868,328.0,170.0
04SEP2026 06:27:00,6.4512,1332.424,3.87,328.0,170.0
04SEP2026 06:28:00,6.465599999999999,1325.138,3.872,328.0,170.0
04SEP2026 06:29:00,6.4824,1317.918,3.873,328.0,170.0
04SEP2026 06:30:00,6.4992,1310.766,3.875,328.0,170.0
04SEP2026 06:31:00,6.516,1303.679,3.877,328.0,170.0
04SEP2026 06:32:00,6.5328,1296.657,3.879,328.0,170.0
04SEP2026 06:33:00,6.5496,1289.702,3.881,328.0,170.0
04SEP2026 06:34:00,6.5664,1282.829,3.884,328.0,170.0
04SEP2026 06:35:00,6.5832,1276.003,3.886,328.0,170.0
04SEP2026 06:36:00,6.6000000000000005,1269.242,3.889,328.0,170.0
04SEP2026 06:37:00,6.6168,1262.546,3.891,328.0,170.0
04SEP2026 06:38:00,6.6335999999999995,1255.914,3.894,328.0,170.0
04SEP2026 06:39:00,6.6504,1249.328,3.897,328.0,170.0
04SEP2026 06:40:00,6.667199999999999,1242.824,3.9,328.0,170.0
04SEP2026 06:41:00,6.684000000000001,1236.384,3.903,328.0,170.0
04SEP2026 06:42:00,6.7008,1229.989,3.906,328.0,170.0
04SEP2026 06:43:00,6.717599999999999,1223.657,3.909,328.0,170.0
04SEP2026 06:44:00,6.734400000000001,1217.389,3.913,328.0,170.0
04SEP2026 06:45:00,6.7512,1211.182,3.916,328.0,170.0
04SEP2026 06:46:00,6.765599999999999,1205.022,3.92,328.0,170.0
04SEP2026 06:47:00,6.782400000000001,1198.94,3.924,328.0,170.0
04SEP2026 06:48:00,6.7992,1192.903,3.928,328.0,170.0
04SEP2026 06:49:00,6.815999999999999,1186.929,3.932,328.0,170.0
04SEP2026 06:50:00,6.832800000000001,1180.999,3.936,328.0,170.0
04SEP2026 06:51:00,6.8496,1175.131,3.94,328.0,170.0
04SEP2026 06:52:00,6.8664000000000005,1169.324,3.945,328.0,170.0
04SEP2026 06:53:00,6.8832,1163.577,3.95,328.0,170.0
04SEP2026 06:54:00,6.8999999999999995,1157.876,3.954,328.0,170.0
04SEP2026 06:55:00,6.9168,1152.234,3.959,328.0,170.0
04SEP2026 06:56:00,6.9336,1146.638,3.964,328.0,170.0
04SEP2026 06:57:00,6.9504,1141.102,3.969,328.0,170.0
04SEP2026 06:58:00,6.9672,1135.625,3.974,328.0,170.0
04SEP2026 06:59:00,6.984,1130.193,3.98,328.0,170.0
04SEP2026 07:00:00,7.0008,1124.82,3.985,328.0,170.0
04SEP2026 07:01:00,7.0176,1119.507,3.991,328.0,170.0
04SEP2026 07:02:00,7.034400000000001,1114.237,3.997,328.0,170.0
04SEP2026 07:03:00,7.0512,1109.012,4.003,328.0,170.0
04SEP2026 07:04:00,7.0656,1103.845,4.009,328.0,170.0
04SEP2026 07:05:00,7.0824,1098.737,4.016,328.0,170.0
04SEP2026 07:06:00,7.0992,1093.673,4.022,328.0,170.0
04SEP2026 07:07:00,7.116,1088.652,4.029,328.0,170.0
04SEP2026 07:08:00,7.1328000000000005,1083.689,4.036,328.0,170.0
04SEP2026 07:09:00,7.1495999999999995,1078.77,4.043,328.0,170.0
04SEP2026 07:10:00,7.166399999999999,1073.91,4.05,328.0,170.0
04SEP2026 07:11:00,7.1832,1069.092,4.057,328.0,170.0
04SEP2026 07:12:00,7.199999999999999,1064.332,4.064,328.0,170.0
04SEP2026 07:13:00,7.216800000000001,1059.616,4.072,328.0,170.0
04SEP2026 07:14:00,7.2336,1054.943,4.08,328.0,170.0
04SEP2026 07:15:00,7.250399999999999,1050.327,4.088,328.0,170.0
04SEP2026 07:16:00,7.267200000000001,1045.755,4.096,328.0,170.0
04SEP2026 07:17:00,7.284,1041.226,4.105,328.0,170.0
04SEP2026 07:18:00,7.300800000000001,1036.753,4.113,328.0,170.0
04SEP2026 07:19:00,7.3176000000000005,1032.324,4.122,328.0,170.0
04SEP2026 07:20:00,7.3344,1027.952,4.131,328.0,170.0
04SEP2026 07:21:00,7.3512,1023.611,4.14,328.0,170.0
04SEP2026 07:22:00,7.365600000000001,1019.326,4.15,328.0,170.0
04SEP2026 07:23:00,7.3824,1015.096,4.159,328.0,170.0
04SEP2026 07:24:00,7.3992,1010.898,4.169,328.0,170.0
04SEP2026 07:25:00,7.416,1006.757,4.179,328.0,170.0
04SEP2026 07:26:00,7.432799999999999,1002.659,4.189,328.0,170.0
04SEP2026 07:27:00,7.4496,998.605,4.2,328.0,170.0
04SEP2026 07:28:00,7.4664,994.594,4.211,328.0,170.0
04SEP2026 07:29:00,7.4832,990.641,4.222,328.0,170.0
04SEP2026 07:30:00,7.5,986.731,4.233,328.0,170.0
04SEP2026 07:31:00,7.5168,982.866,4.244,328.0,170.0
04SEP2026 07:32:00,7.5336,979.044,4.256,328.0,170.0
04SEP2026 07:33:00,7.5504,975.268,4.268,328.0,170.0
04SEP2026 07:34:00,7.567200000000001,971.535,4.28,328.0,170.0
04SEP2026 07:35:00,7.584,967.861,4.292,328.0,170.0
04SEP2026 07:36:00,7.6008,964.219,4.305,328.0,170.0
04SEP2026 07:37:00,7.6176,960.635,4.318,328.0,170.0
04SEP2026 07:38:00,7.634399999999999,957.096,4.331,328.0,170.0
04SEP2026 07:39:00,7.651199999999999,953.603,4.345,328.0,170.0
04SEP2026 07:40:00,7.6656,950.146,4.359,328.0,170.0
04SEP2026 07:41:00,7.6823999999999995,946.747,4.373,328.0,170.0
04SEP2026 07:42:00,7.699199999999999,943.395,4.388,328.0,170.0
04SEP2026 07:43:00,7.716,940.09,4.403,328.0,170.0
04SEP2026 07:44:00,7.732799999999999,936.834,4.418,328.0,170.0
04SEP2026 07:45:00,7.749600000000001,933.626,4.433,328.0,170.0
04SEP2026 07:46:00,7.7664,930.468,4.449,328.0,170.0
04SEP2026 07:47:00,7.783199999999999,927.36,4.465,328.0,170.0
04SEP2026 07:48:00,7.800000000000001,924.304,4.482,328.0,170.0
04SEP2026 07:49:00,7.8168,921.299,4.499,328.0,170.0
04SEP2026 07:50:00,7.833600000000001,918.346,4.516,328.0,170.0
04SEP2026 07:51:00,7.8504000000000005,915.448,4.534,328.0,170.0
04SEP2026 07:52:00,7.8671999999999995,912.606,4.552,328.0,170.0
04SEP2026 07:53:00,7.884,909.81,4.571,328.0,170.0
04SEP2026 07:54:00,7.9008,907.083,4.59,328.0,170.0
04SEP2026 07:55:00,7.9176,904.408,4.609,328.0,170.0
04SEP2026 07:56:00,7.9344,901.796,4.63,328.0,170.0
04SEP2026 07:57:00,7.9512,899.251,4.65,328.0,170.0
04SEP2026 07:58:00,7.965599999999999,896.777,4.671,328.0,170.0
04SEP2026 07:59:00,7.9824,894.379,4.693,328.0,170.0
04SEP2026 08:00:00,7.9992,892.056,4.716,328.0,170.0
